image,fruit,frp,mv,lm,ld,am,ad,bm,bd,chroma,q_ref,i1_ref,i2_ref,i_index_ref,q_pred,i_pred
"Giallo A1 (1-5) 0,0,0.JPG",1,0.004014049172102358,0.0032,0.0014337254901960782,0.028780984110464012,7.84375,9.107378104454652,40.90625,65.46103773190202,41.65147900285175,0,0,0,0,0,0
"Giallo A1 (1-5) 0,0,0.JPG",2,0.0104425658876181,0.0084,0.0041992156862745095,0.052756830440900584,5.964285714285714,1.7758058437109119,34.10843373493976,42.3991395821407,34.625972274181834,0,0,0,0,0,0
"Giallo A1 (1-5) 0,0,0.JPG",3,0.002932551319648094,0.0023,0.0009662745098039217,0.023682666599652173,6.130434782608695,3.5177110619423977,49.869565217391305,79.23344942955984,50.24495761362988,0,0,0,0,0,0
"Giallo A1 (1-5) 0,0,0.JPG",4,0.0069823536879522665,0.0055,0.002572806300237867,0.03979353053470437,6.454545454545454,9.67248803531896,28.01818181818182,27.41631293365381,28.752037656859866,0,0,0,0,0,0
"Giallo A1 (1-5) 0,0,0.JPG",5,0.00409683426443203,0.0033,0.0017725490196078431,0.034646541936066914,7.9375,5.8786557774715815,30.09090909090909,57.200001926448174,31.12019788123712,0,0,0,0,0,0
"Giallo A2 (6-10) 0,0,0.JPG",1,0.004635842381359034,0.0038,0.0020690196078431374,0.03779937289370351,8.368421052631579,11.395800363641767,21.63157894736842,34.55234096161905,23.193871575706375,0,0,0,0,0,0
"Giallo A2 (6-10) 0,0,0.JPG",2,0.009003376266099787,0.0072,0.0032627450980392153,0.04552462794276502,5.694444444444445,5.029465646702245,33.90277777777778,8.17713567451991,34.377682274700355,0,0,0,0,0,0
"Giallo A2 (6-10) 0,0,0.JPG",3,0.006331425788384269,0.0052,0.0025239215686274513,0.04001694739790281,6.076923076923077,2.1379910937980457,23.26923076923077,32.485568029165115,24.049658930524487,0,0,0,0,0,0
"Giallo A2 (6-10) 0,0,0.JPG",4,0.004569593676670372,0.0037,0.001548235294117647,0.030562717601508253,8.135135135135135,6.670476145581027,26.7027027027027,53.095459603748004,27.914418412279996,0,0,0,0,0,0
"Giallo A2 (6-10) 0,0,0.JPG",5,0.015680264088658337,0.0133,0.006752047753794989,0.06715442347959895,6.30827067669173,1.8885505884752913,15.62406015037594,5.631011746534988,16.84949656556463,0,0,0,0,0,0
Pre-harvest a (1-6).JPG,1,0.18268186753528773,0.1346,0.06731790755517894,0.20132570512377843,30.799405646359585,10.426201404347115,15.642644873699851,7.8697189034805515,34.544112766341165,3,3,0,1,1,5
Pre-harvest a (1-6).JPG,2,0.21838235294117647,0.1782,0.08882037160167659,0.2265180329083739,26.126262626262626,10.042127618661228,17.660303200449185,5.81810584840661,31.53518523725908,3,3,0,1,1,5
Pre-harvest a (1-6).JPG,3,0.19455852156057496,0.1516,0.07375639524736789,0.20858408440068862,27.056728232189975,12.021723997444514,17.320580474934037,8.601489328041414,32.125831516386505,3,3,0,1,1,5
Pre-harvest a (1-6).JPG,4,0.22082054778952154,0.1943,0.09836947781713204,0.2379738516162881,25.413704276146316,11.610384492381142,16.984045290787442,8.158886216537006,30.56655295375873,3,2,0,1,1,5
Pre-harvest a (1-6).JPG,5,0.10177095631641087,0.0862,0.04201153956281452,0.16141577866610113,26.573085846867748,8.042008007813392,15.865429234338746,8.690901834662993,30.949002184477834,2,3,0,1,1,3
"Rosso B2 (6-10) 1,1,0.JPG",5,0.15918723510346547,0.1277,0.06491943311978256,0.19907686665443125,7.632202052091555,4.428740011226223,46.91300940438872,12.498255177405177,47.5297902324449,1,1,0,0,1,2
T0 1 (1-8).JPG,1,0.3481169474727453,0.281,0.14087665287269716,0.2724015534499497,28.121708185053382,10.636577858558578,22.35338078291815,7.398809485906569,35.923587010088966,3,3,0,1,2,5
T0 1 (1-8).JPG,2,0.33459889773423146,0.2732,0.13608584832912451,0.2681474038901794,26.326866764275255,11.307092126172165,19.218155197657392,6.4823213666826405,32.59511317398893,3,3,0,1,2,5
T0 1 (1-8).JPG,3,0.4210590235608453,0.3467,0.1752604795296159,0.2949800949575912,28.620132679550043,12.972522209997788,25.038938563599654,4.679017573128307,38.027101375029446,3,3,0,1,3,5
T0 1 (1-8).JPG,4,0.2865175406429532,0.2344,0.1185281074518434,0.2540232430527209,30.08706786171575,10.591798141019218,24.99359795134443,6.359647379922644,39.11408430564286,3,3,0,1,2,5
T0 1 (1-8).JPG,5,0.3433353998760074,0.2769,0.13783666018960133,0.2708359291185305,28.22137955940773,10.435571551391865,24.451787648970747,5.3838506846591505,37.340811232035584,3,3,0,1,2,5
T0 1 (1-8).JPG,6,0.4475816351583599,0.3646,0.17907515063700458,0.29330193171572955,28.86204059243006,11.646790342962376,23.376028524410312,4.592663450333469,37.14102982865614,3,3,0,1,3,5
T0 4 (25-32).JPG,1,0.4085764587525151,0.3249,0.1647388433059836,0.28953151511205966,28.107417666974452,11.564178662674975,19.987996306555864,5.312822165733949,34.48980899130406,4,3,1,2,3,5
