label,h,s,v
0,26,89,239
0,27,102,244
0,27,69,228
0,26,90,239
0,25,82,240
0,27,113,242
0,0,0,255
0,0,0,255
0,27,113,240
0,25,113,235
0,26,85,227
0,26,110,245
0,27,109,241
0,25,83,230
0,26,91,237
0,0,0,255
0,25,111,231
0,22,99,217
0,21,91,197
0,0,0,255
0,26,107,247
0,27,93,248
0,29,73,254
0,26,93,251
0,26,94,249
0,27,90,251
0,27,86,253
0,0,0,255
0,27,103,241
0,21,64,205
0,28,94,252
0,28,88,253
0,27,95,244
0,27,86,246
0,28,96,251
0,27,100,247
0,0,0,255
0,27,96,244
0,27,96,243
0,25,89,240
0,27,88,248
0,27,91,242
0,0,0,255
0,26,91,243
0,27,87,247
0,25,88,241
0,0,0,255
0,1,4,203
0,27,87,248
0,0,0,255
0,26,95,253
0,25,75,216
0,25,81,223
0,0,0,255
0,0,0,255
0,27,93,246
0,26,98,245
0,25,91,228
0,0,0,255
0,24,87,223
1,18,120,218
0,27,131,254
0,32,117,217
0,28,137,254
1,21,106,240
0,0,0,255
0,28,135,254
0,26,142,252
1,20,137,244
0,27,129,254
0,24,149,240
0,0,0,255
0,0,0,255
0,0,0,255
0,28,134,254
1,20,123,240
0,24,131,252
0,0,0,255
0,21,126,219
0,26,125,254
0,0,0,255
0,27,126,253
0,28,137,254
0,0,0,255
0,0,1,252
1,15,131,252
0,28,131,254
0,28,130,254
0,28,122,254
0,27,124,253
0,27,141,253
1,20,120,205
0,21,123,213
0,20,127,186
0,22,139,234
0,26,139,250
1,19,117,207
1,17,136,237
0,26,147,247
0,0,0,255
0,24,148,234
0,20,113,220
0,18,114,211
0,29,153,228
0,21,113,227
0,29,100,254
0,26,140,251
1,14,110,230
0,27,135,239
0,28,136,253
0,0,0,255
0,27,140,253
0,22,135,232
0,0,0,255
0,26,139,251
0,25,145,242
1,23,131,245
0,2,6,229
0,25,143,245
0,27,131,253
0,26,121,216
0,26,139,250
0,0,0,255
0,28,132,232
1,18,131,240
0,27,134,253
0,27,137,253
1,17,114,244
0,23,149,248
0,29,109,254
1,24,131,251
0,24,136,248
0,27,136,253
1,18,113,236
0,26,141,252
0,28,144,248
0,0,0,255
0,0,0,255
0,25,139,235
0,0,0,255
0,30,101,254
0,27,136,253
1,20,114,231
0,28,128,254
0,28,112,254
1,18,111,217
0,27,143,241
0,27,129,254
0,28,145,252
0,24,141,239
0,28,136,254
0,29,108,225
0,27,140,239
0,24,148,247
0,27,132,232
0,0,0,255
0,26,135,251
0,27,140,253
1,19,119,243
0,25,148,238
0,23,152,243
0,12,41,206
0,28,125,236
0,30,133,219
1,18,133,233
1,18,90,222
0,19,59,220
1,18,97,214
1,14,122,238
0,27,106,254
0,24,138,246
0,24,129,244
0,0,0,255
0,27,130,252
0,29,106,254
0,28,130,253
0,28,139,248
1,20,122,241
0,24,135,232
1,16,118,240
0,21,110,246
0,21,98,220
0,25,134,252
0,24,133,246
0,28,115,254
1,19,108,233
0,27,119,253
0,15,42,210
0,29,120,254
